customer_id,first_name,last_name,gender,state
1,,Harris,male,Illinois
2,Jerry,,male,Louisiana
3,Howard,Austin,,New Mexico
4,Jimmy,Reid,male,
5,Kyle,Barrett,male,WA
6,Daniel,Rogers,male,WA
7,Tracy,Palmer,female,PA
8,Sally,Hernandez,female,New Mexico
9,Angel,Bell,male,Indiana
10,Brennan,Jensen,male,Florida
11,Henry,Jensen,male,West Virginia
,,,,
,,,,
14,Carter,Smith,male,Michigan
15,Audrey,Watts,female,Washington
16,Sharlene,Simmmons,female,Washington
17,Anna,Hansen,female,North Carolina
18,Miguel,Perry,male,New Jerse
19,Gabriella,Myers,female,North Dakata
20,Leon,Jordan,male,Washington
21,Rhonda,Freeman,female,Georgia
22,Douglas,Wallace,male,New York
23,John,Smith,male,New York
24,Jane,Hoffman,female,Delaware
25,Samuel,Shelton,male,Pennsylvania
26,Jon,Stone,male,Ohio
27,Bertha,Evans,female,Maryland
28,Cassandra,Terry,female,Michigan
29,Gloria,Marshall,female,New Hampshire
30,Roberta,Ross,female,Montana
31,Letitia,Andrews,female,Pennsylvania
32,Nellie,Payne,female,Arizona
33,Sylvia,Howard,female,Alabama
34,John,Bowman,male,West Virginia
35,Jeffrey,Burns,male,Connecticut
36,Stacey,Wright,female,Hawaii
37,Virgil,Bradley,male,Mississippi
38,Albert,Harris,male,Iowa
39,Carole,Baker,female,Arkansas
40,Ruben,Gregory,male,Indiana
41,Maureen,Thomas,female,North Carolina
42,Henry,Fernandez,male,Kansas
43,Marion,Simmmons,female,New York
44,Taylor,Ellis,female,Kentucky
45,Flenn,Martin,male,Wyoming
46,Clyde,Freeman,male,Iowa
47,Nellie,Mcdonalid,female,New Jersey
48,Jesus,Medina,male,Oklahoma
49,Anthony,Barnes,male,Alabama
50,Enrique,Howell,male,Indiana
51,Ken,Ross,male,Kansas
52,Megan,Perry,female,California
53,Scarlett,Fields,female,Vermont
54,Felicia,Nguyen,female,Minnesota
55,Sofia,Bailey,female,Washington
56,Jordan,Ray,male,New Mexico
57,Alan,Stewart,male,Indiana
58,Jenny,Andrews,female,New Hampshire
59,Duane,Young,male,Tennessee
60,Marilyn,Mitchell,female,Connecticut
61,Jack,Mills,male,Arkansas
62,Annie,Hawkins,female,Virginia
63,Jerome,Andrews,male,Maryland
64,Camila,Meyer,female,Indiana
65,Lydia,Reynolds,female,Texas
66,Layla,Cruz,female,Idaho
67,Ross,Wilson,male,Delaware
68,Francis,Carter,male,Washington
69,Martin,Fisher,male,Indiana
70,Tiffany,Cunningham,female,Colorado
71,Mabel,Newman,female,Louisiana
72,Marie,Howard,female,Maryland
73,Maureen,Wood,female,New York
74,Hailey,Craig,female,Nebraska
75,Elaine,Lynch,female,Louisiana
76,Christine,Wade,female,Pennsylvania
77,Benjamin,Andrews,male,Indiana
78,Carter,Austin,male,Kentucky
79,Ritthy,Harris,male,Idaho
80,Rose,Armstrong,female,Connecticut
81,Kitty,Boyd,female,Washington
82,Kathy,Hicks,female,Nebraska
83,Priscilla,Lewis,female,South Carolina
84,Yolanda,Lewis,female,West Virginia
85,Barry,Knight,male,Vermont
86,Nevaeh,Horton,female,Iowa
87,Shannon,West,female,California
88,Loretta,Miles,female,Missouri
89,Kathryn,Jimenez,female,Idaho
90,Debra,Medina,female,Kentucky
91,Lloyd,Curtis,male,Arkansas
92,Kevin,Patterson,male,Maine
93,Jar,Armstrong,male,Wyoming
94,Sherri,Fleming,female,Oklahoma
95,Jamie,Wright,male,Alabama
96,Mae,Washington,female,South Dakota
