customer_id,first_name,last_name,gender,state
1,,Harris,male,Illinois
2,Jerry,,male,Louisiana
3,Howard,Austin,,New Mexico
4,Jimmy,Reid,male,
5,Kyle,Barrett,male,WA
6,Daniel,Rogers,male,WA
7,Tracy,Palmer,female,PA
8,Sally,Hernandez,female,New Mexico
9,Angel,Bell,male,Indiana
10,Brennan,Jensen,male,Florida
11,Henry,Jensen,male,West Virginia
12,Brandon,Caldwell,male,Rhode Island
13,Nina,Willis,female,Maryland
14,Carter,Turner,male,Michigan
15,Audrey,Watts,female,Tennessee
16,Sharlene,Mason,female,Washington
17,Anna,Hansen,female,Vermont
18,Miguel,Perry,male,New Jerse
19,Gabriella,Myers,female,North Dakata
20,Leon,Jordan,male,Washington
21,Rhonda,Wallace,female,Georgia
22,Douglas,Wallace,male,Michigan
23,John,Smith,male,Tennessee
24,Jane,Hoffman,female,Delaware
25,Samuel,Shelton,male,Pennsylvania
26,Jon,Stone,male,Ohio
27,Bertha,Evans,female,Maryland
28,Cassandra,Terry,female,Michigan
29,Gloria,Marshall,female,New Hampshire
30,Roberta,Ross,female,Montana
31,Letitia,Andrews,female,Pennsylvania
32,Nellie,Payne,female,Arizona
33,Sylvia,Howard,female,Alabama
34,John,Bowman,male,West Virginia
35,Jeffrey,Burns,male,Connecticut
36,Stacey,Wright,female,Hawaii
37,Virgil,Bradley,male,Mississippi
38,Albert,Harris,male,Iowa
39,Carole,Baker,female,Arkansas
40,Ruben,Gregory,male,Indiana
41,Maureen,Thomas,female,North Carolina
42,Henry,Fernandez,male,Kansas
43,Marion,Simmmons,female,New York
44,Taylor,Ellis,female,Kentucky
45,Flenn,Martin,male,Wyoming
46,Clyde,Freeman,male,Iowa
47,Nellie,Mcdonalid,female,New Jersey
48,Jesus,Medina,male,Oklahoma
49,Anthony,Barnes,male,Alabama
50,Enrique,Howell,male,Indiana
